attempts,clock,date,game_id,interruptions,makes,opponent,period,player_id,player_name,result_sequence,segment,trip_id,trip_length,trip_type,venue
2,3:43,2025-10-25,401809952,,2,POR,4,4432171,Moses Moody,M-M,Regular Season,401809952-401809952737,2,shooting,away
2,2:00,2025-10-25,401809952,,2,POR,4,4431684,Trayce Jackson-Davis,M-M,Regular Season,401809952-401809952761,2,shooting,away
2,2:24,2025-10-28,401809976,,0,MEM,1,6430,Jimmy Butler III,X-X,Regular Season,401809976-401809976133,2,shooting,home
1,1:15,2025-10-28,401809976,substitution,1,MEM,1,6430,Jimmy Butler III,M,Regular Season,401809976-401809976160,1,and-one,home
2,28.7,2025-10-28,401809976,,2,MEM,1,4431684,Trayce Jackson-Davis,M-M,Regular Season,401809976-401809976170,2,shooting,home
1,9:22,2025-10-28,401809976,timeout;substitution,1,MEM,2,6430,Jimmy Butler III,M,Regular Season,401809976-401809976235,1,and-one,home
2,5:33,2025-10-28,401809976,,2,MEM,2,4433247,Jonathan Kuminga,M-M,Regular Season,401809976-401809976298,2,shooting,home
1,4:58,2025-10-28,401809976,,1,MEM,2,2990984,Buddy Hield,M,Regular Season,401809976-401809976306,1,and-one,home
2,3:33,2025-10-28,401809976,,2,MEM,2,4433247,Jonathan Kuminga,M-M,Regular Season,401809976-401809976333,2,shooting,home
2,2:55,2025-10-28,401809976,,1,MEM,2,4433247,Jonathan Kuminga,M-X,Regular Season,401809976-401809976345,2,shooting,home
2,1:42,2025-10-28,401809976,,1,MEM,2,6589,Draymond Green,X-M,Regular Season,401809976-401809976371,2,shooting,home
2,10.4,2025-10-28,401809976,,2,MEM,2,6430,Jimmy Butler III,M-M,Regular Season,401809976-401809976387,2,shooting,home
2,8:47,2025-10-28,401809976,,2,MEM,3,4709138,Brandin Podziemski,M-M,Regular Season,401809976-401809976438,2,shooting,home
2,8:31,2025-10-28,401809976,,2,MEM,3,3975,Stephen Curry,M-M,Regular Season,401809976-401809976451,2,shooting,home
3,3:25,2025-10-28,401809976,,3,MEM,3,4432171,Moses Moody,M-M-M,Regular Season,401809976-401809976537,3,technical,home
2,2:27,2025-10-28,401809976,,2,MEM,3,6430,Jimmy Butler III,M-M,Regular Season,401809976-401809976557,2,shooting,home
2,10:56,2025-10-28,401809976,,0,MEM,4,4709138,Brandin Podziemski,X-X,Regular Season,401809976-401809976613,2,shooting,home
2,2:19,2025-10-28,401809976,,2,MEM,4,4433247,Jonathan Kuminga,M-M,Regular Season,401809976-401809976756,2,shooting,home
1,9:03,2025-10-29,401809982,,0,LAC,1,4433247,Jonathan Kuminga,X,Regular Season,401809982-40180998229,1,and-one,home
3,8:54,2025-10-29,401809982,,3,LAC,3,3975,Stephen Curry,M-M-M,Regular Season,401809982-401809982355,3,shooting,home
1,9:32,2025-10-31,401809994,,1,MIL,1,3975,Stephen Curry,M,Regular Season,401809994-40180999434,1,technical,away
2,9:00,2025-10-31,401809994,,2,MIL,1,3975,Stephen Curry,M-M,Regular Season,401809994-40180999441,2,technical,away
2,11:46,2025-10-31,401809994,,2,MIL,2,4897262,Will Richard,M-M,Regular Season,401809994-401809994170,2,shooting,away
2,10:52,2025-10-31,401809994,,2,MIL,2,6430,Jimmy Butler III,M-M,Regular Season,401809994-401809994185,2,shooting,away
2,5:38,2025-10-31,401809994,,2,MIL,2,4433247,Jonathan Kuminga,M-M,Regular Season,401809994-401809994255,2,shooting,away
2,4:26,2025-10-31,401809994,,2,MIL,2,3975,Stephen Curry,M-M,Regular Season,401809994-401809994283,2,shooting,away
2,3:37,2025-10-31,401809994,,2,MIL,2,6430,Jimmy Butler III,M-M,Regular Season,401809994-401809994301,2,shooting,away
2,1:53,2025-10-31,401809994,,2,MIL,2,4433247,Jonathan Kuminga,M-M,Regular Season,401809994-401809994329,2,shooting,away
2,9:29,2025-10-31,401809994,,2,MIL,3,4433247,Jonathan Kuminga,M-M,Regular Season,401809994-401809994382,2,shooting,away
1,6:30,2025-10-31,401809994,,1,MIL,3,3975,Stephen Curry,M,Regular Season,401809994-401809994420,1,and-one,away
2,1.6,2025-10-31,401809994,,2,MIL,3,6430,Jimmy Butler III,M-M,Regular Season,401809994-401809994510,2,shooting,away
2,7:34,2025-10-31,401809994,substitution,2,MIL,4,4433247,Jonathan Kuminga,M-M,Regular Season,401809994-401809994590,2,shooting,away
2,4:34,2025-10-31,401809994,,1,MIL,4,3975,Stephen Curry,X-M,Regular Season,401809994-401809994638,2,shooting,away
2,3:16,2025-10-31,401809994,,2,MIL,4,6430,Jimmy Butler III,M-M,Regular Season,401809994-401809994658,2,shooting,away
2,10:32,2025-11-01,401809999,,2,IND,1,6430,Jimmy Butler III,M-M,Regular Season,401809999-40180999919,2,shooting,away
2,8:55,2025-11-01,401809999,,2,IND,1,6589,Draymond Green,M-M,Regular Season,401809999-40180999936,2,shooting,away
1,7:45,2025-11-01,401809999,substitution,1,IND,1,6430,Jimmy Butler III,M,Regular Season,401809999-40180999956,1,and-one,away
1,5:50,2025-11-01,401809999,,1,IND,1,3975,Stephen Curry,M,Regular Season,401809999-40180999983,1,technical,away
1,5:33,2025-11-01,401809999,,1,IND,1,3975,Stephen Curry,M,Regular Season,401809999-40180999990,1,technical,away
1,1:06,2025-11-01,401809999,,1,IND,2,3975,Stephen Curry,M,Regular Season,401809999-401809999314,1,technical,away
2,11:38,2025-11-01,401809999,,1,IND,3,4709138,Brandin Podziemski,X-M,Regular Season,401809999-401809999337,2,shooting,away
2,10:11,2025-11-01,401809999,,2,IND,3,4433247,Jonathan Kuminga,M-M,Regular Season,401809999-401809999350,2,shooting,away
2,4:49,2025-11-01,401809999,,2,IND,3,4709138,Brandin Podziemski,M-M,Regular Season,401809999-401809999438,2,shooting,away
2,2:52,2025-11-01,401809999,,2,IND,3,6430,Jimmy Butler III,M-M,Regular Season,401809999-401809999469,2,shooting,away
1,0.8,2025-11-01,401809999,review/challenge,1,IND,3,6430,Jimmy Butler III,M,Regular Season,401809999-401809999500,1,and-one,away
2,9:23,2025-11-01,401809999,,2,IND,4,6430,Jimmy Butler III,M-M,Regular Season,401809999-401809999548,2,shooting,away
